Customer ID,Gender,Age,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Latitude,Longitude,Population,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Avg Monthly GB Streaming Movies,Avg Monthly GB Streaming Music,Avg Monthly GB Streaming TV,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Label,Churn Score,Churn Category,Churn Reason
9947-OTFQU,male,65.0,No,No,0.0,United States,California,Covina,91722.0,34.097345,-117.906736,33817.0,Q3,NO,0.0,15.0,Offer D,Yes,29.11,No,Fiber Optic,29.0,No,YES,No,No,No,NO,No,1,0,0,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,0.0,436.65,1510.9499999999998,Churned,yes,86.0,Competitor,Competitor had better devices
9514-JDSKI,male,77.0,Yes,No,,united states,california,el monte,91732.0,34.074492,7313.98538,62660.0,q3,yes,1.0,1.0,offer e,No,0.0,No,DSL,12.0,No,Yes,NO,No,YES,no,NO,2,0,0,yes,Month-to-Month,No,bank withdrawal,40.2,40.2,0.0,0.0,0.0,40.2,CHURNED,Yes,65.0,Dissatisfaction,Limited range of services
7273-tefqd,Male,67.0,No,No,0.0,united states,California,La Puente,91746.0,34.038983,-117.991372,30802.0,Q3,No,0.0,3.0,OFFER E,no,0.0,No,dsl,28.0,No,NO,Yes,No,No,Yes,Yes,0,0,0,Yes,month-to-month,Yes,bank withdrawal,41.15,132.2,0.0,0.0,0.0,132.2,Churned,Yes,96.0,Price,Long distance charges
3606-twkgi,Male,68.0,No,no,0.0,united states,CALIFORNIA,Rowland Heights,91748.0,33.976753,-117.897367,46342.0,Q3,no,0.0,13.0,Offer D,yes,32.68,Yes,Cable,11.0,No,Yes,Yes,No,Yes,yes,No,1,0,0,No,month-to-month,Yes,Bank Withdrawal,106.9,1364.3,0.0,10.0,424.84,1799.14,Churned,Yes,84.0,Competitor,Competitor had better devices
4385-gzqxv,FEMALE,68.0,no,No,0.0,United States,california,Ontario,91764.0,34.074087,-117.605618,49474.0,Q3,no,202.0,16.0,offer d,Yes,9.43,NO,Fiber Optic,9.0,no,no,No,Yes,YES,Yes,Yes,0,1,0,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,0.0,150.88,1662.08,Churned,Yes,81.0,Competitor,Competitor had better devices
3488-PGMQJ,Male,66.0,No,No,0.0,United States,California,alpine,91901.0,32.827184,-116.703729,16486.0,Q3,No,0.0,8.0,none,YES,1.78,no,Fiber Optic,7.0,No,Yes,No,No,NO,No,No,0,2,0,Yes,MONTH-TO-MONTH,Yes,BANK WITHDRAWAL,74.5,606.55,0.0,0.0,14.24,620.79,Churned,YES,80.0,Dissatisfaction,Poor expertise of online support
7534-bfesc,Male,69.0,No,NO,0.0,united states,California,San Diego,92122.0,32.85723,-117.209774,44554.0,Q3,No,0.0,24.0,Offer C,yes,30.87,yes,Fiber Optic,15.0,no,no,No,No,no,No,no,0,2,0,Yes,month-to-month,YES,bank withdrawal,76.1,1712.7,0.0,0.0,740.88,2453.58,Churned,YES,91.0,Competitor,Competitor made better offer
8098-LLAZX,Female,74.0,no,No,0.0,UNITED STATES,California,San Diego,92122.0,32.85723,-117.209774,34902.0,Q3,No,0.0,4.0,offer e,yes,31.61,Yes,Fiber Optic,2.0,NO,No,no,No,Yes,Yes,No,1,0,0,yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0.0,126.44,522.54,Churned,Yes,85.0,Competitor,Competitor made better offer
0265-EDXBD,Male,76.0,Yes,No,0.0,united states,California,San Diego,92122.0,32.85723,-117.209774,34902.0,q3,Yes,2.0,32.0,Offer C,YES,47.34,Yes,Fiber Optic,10.0,No,NO,No,No,No,No,no,0,0,0,YES,Month-to-Month,YES,bank withdrawal,74.9,2303.35,0.0,0.0,1514.88,3818.23,churned,Yes,69.0,Attitude,Attitude of support person
2840-XANRC,male,77.0,Yes,No,0.0,united states,CALIFORNIA,san diego,92122.0,32.85723,-117.209774,34902.0,q3,Yes,1.0,24.0,Offer C,Yes,16.1,no,Cable,12.0,NO,No,Yes,No,Yes,Yes,Yes,0,1,0,Yes,Month-to-Month,YES,bank withdrawal,93.15,2231.05,0.0,0.0,386.4,2617.4500000000003,Churned,Yes,73.0,Competitor,Competitor made better offer
5020-zstty,Female,70.0,No,No,0.0,UNITED STATES,California,san diego,92122.0,32.85723,-117.209774,34902.0,Q3,no,0.0,54.0,Offer B,Yes,12.08,Yes,dsl,5.0,Yes,yes,no,Yes,Yes,YES,Yes,3,0,0,yes,One Year,No,Bank Withdrawal,82.45,4350.1,0.0,0.0,652.32,5002.42,CHURNED,Yes,83.0,Competitor,Competitor made better offer
5804-LEPIM,Female,74.0,no,No,0.0,United States,California,San Diego,92122.0,32.85723,-117.209774,34902.0,Q3,No,0.0,2.0,Offer E,Yes,13.17,NO,Fiber Optic,10.0,No,No,No,No,No,No,No,2,3,0,Yes,Month-to-Month,YES,BANK WITHDRAWAL,70.35,139.05,0.0,0.0,26.34,165.39,Churned,YES,73.0,Other,Don't know
0623-IIHUG,Female,77.0,No,No,0.0,United States,California,San Diego,92122.0,32.85723,-117.209774,34902.0,q3,NO,0.0,21.0,none,No,0.0,No,Cable,8.0,YES,No,no,No,Yes,no,no,1,0,1,YES,Month-to-Month,yes,Bank Withdrawal,41.9,840.1,0.0,0.0,0.0,840.1,churned,Yes,90.0,Competitor,Competitor made better offer
9057-MSWCO,Male,71.0,Yes,NO,0.0,United States,California,San Diego,92122.0,32.85723,-117.209774,34902.0,Q3,No,0.0,27.0,none,No,0.0,No,Cable,13.0,yes,No,No,No,No,no,No,0,0,0,No,MONTH-TO-MONTH,No,Credit Card,30.75,805.1,0.0,140.0,0.0,945.1,Churned,Yes,91.0,Competitor,Competitor made better offer
4895-TMWIR,Male,79.0,yes,no,0.0,United States,california,san diego,92122.0,32.85723,-117.209774,34902.0,Q3,Yes,1.0,11.0,None,YES,29.54,No,None,0.0,No,No,No,no,No,No,no,0,3,0,No,Month-to-Month,No,Mailed Check,19.95,214.75,0.0,0.0,324.94,539.69,Churned,YES,80.0,Competitor,Competitor made better offer
0533-bnwkf,female,66.0,yes,No,0.0,UNITED STATES,california,San Diego,92122.0,32.85723,-117.209774,34902.0,Q3,YES,2.0,55.0,offer b,Yes,42.82,Yes,Fiber Optic,27.0,No,yes,YES,no,No,No,No,0,0,0,No,MONTH-TO-MONTH,yes,Bank Withdrawal,85.45,4874.7,0.0,90.0,2355.1,7319.799999999999,churned,Yes,91.0,Competitor,Competitor made better offer
0334-GDDSO,Male,77.0,No,No,0.0,United States,CALIFORNIA,San Diego,92122.0,32.85723,-117.209774,34902.0,Q3,NO,0.0,3.0,Offer E,Yes,9.22,YES,FIBER OPTIC,14.0,No,Yes,No,No,no,No,no,0,0,0,YES,Month-to-Month,Yes,BANK WITHDRAWAL,81.35,233.7,0.0,0.0,27.660000000000004,261.36,churned,Yes,73.0,Competitor,Competitor made better offer
5564-NEMQO,Female,80.0,no,No,0.0,UNITED STATES,California,Thermal,92274.0,33.53604,9287.880778,17018.0,Q3,no,0.0,1.0,Offer E,yes,35.09,No,Fiber Optic,17.0,No,No,YES,no,no,no,no,1,0,0,No,MONTH-TO-MONTH,YES,Bank Withdrawal,75.3,75.3,0.0,20.0,35.09,130.39,Churned,YES,67.0,Dissatisfaction,Network reliability
6235-VDHOM,Female,77.0,No,No,0.0,United States,california,Riverside,92509.0,34.004379,-117.447864,63999.0,Q3,No,0.0,5.0,offer e,No,0.0,No,DSL,26.0,No,Yes,No,NO,No,No,no,0,2,0,yes,MONTH-TO-MONTH,NO,Bank Withdrawal,28.45,131.05,0.0,0.0,0.0,131.05,Churned,Yes,89.0,Dissatisfaction,Limited range of services
5609-cebid,Female,77.0,No,NO,0.0,united states,CALIFORNIA,Hemet,92544.0,33.644585,-116.871544,39264.0,Q3,No,0.0,20.0,None,Yes,48.73,YES,fiber optic,12.0,no,Yes,Yes,No,No,YES,No,1,0,1,No,Month-to-Month,Yes,BANK WITHDRAWAL,94.1,1782.4,0.0,80.0,974.6,2837.0,CHURNED,Yes,87.0,Competitor,Competitor had better devices
5956-VKDTT,Female,72.0,yes,no,0.0,United States,California,Moreno Valley,92557.0,33.970661,-117.255039,46214.0,Q3,Yes,4.0,5.0,Offer E,Yes,45.76,Yes,Fiber Optic,22.0,No,No,No,No,No,NO,no,1,1,1,Yes,Month-to-Month,Yes,Bank Withdrawal,2352.35,334.8,0.0,0.0,228.8,563.6,churned,yes,82.0,Dissatisfaction,Product dissatisfaction
0257-ZESQC,Female,80.0,Yes,no,0.0,United States,California,perris,92571.0,33.828289,-117.201666,26357.0,Q3,yes,,27.0,None,Yes,7.02,No,Cable,25.0,yes,No,NO,no,No,No,No,0,0,2,YES,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0.0,0.0,189.54,2118.89,churned,yes,91.0,Attitude,Attitude of support person
2865-TCHJW,Female,74.0,No,No,0.0,United States,California,anaheim,92807.0,33.848733,-117.788357,36301.0,Q3,no,0.0,4.0,None,YES,48.35,Yes,Cable,24.0,No,no,Yes,NO,Yes,No,No,0,3,0,Yes,month-to-month,Yes,Bank Withdrawal,89.2,346.2,0.0,0.0,193.4,539.6,CHURNED,yes,74.0,Competitor,Competitor had better devices
5192-ebgov,FEMALE,68.0,No,No,0.0,United States,California,Brea,92823.0,33.924143,-117.79387,9172.0,Q3,NO,0.0,1.0,none,YES,45.81,Yes,Fiber Optic,21.0,No,No,No,No,Yes,No,No,0,0,0,Yes,MONTH-TO-MONTH,Yes,bank withdrawal,85.7,85.7,,0.0,45.81,131.51,CHURNED,Yes,66.0,Competitor,Competitor had better devices
3419-SNJJD,Female,78.0,YES,No,0.0,united states,California,Yorba Linda,92887.0,33.884073,-117.732197,20893.0,Q3,Yes,3.0,65.0,Offer B,yes,18.39,Yes,Fiber Optic,28.0,Yes,no,yes,No,YES,Yes,no,0,0,0,yes,month-to-month,No,Bank Withdrawal,105.25,6786.4,0.0,0.0,1195.35,7981.75,Churned,YES,91.0,Attitude,Attitude of support person
4554-ygzih,male,75.0,yes,No,0.0,United States,california,Summerland,93067.0,34.420998,-119.60137,576.0,Q3,yes,3.0,49.0,Offer B,YES,22.92,Yes,fiber optic,14.0,No,yes,NO,No,No,YES,No,1,0,0,Yes,MONTH-TO-MONTH,no,credit card,90.05,4547.25,0.0,0.0,1123.0800000000002,5670.33,Churned,YES,96.0,Competitor,Competitor made better offer
5099-BAILX,Male,77.0,Yes,No,0.0,UNITED STATES,California,santa barbara,93101.0,34.419203,-119.710008,31727.0,q3,Yes,1.0,43.0,Offer B,YES,14.52,Yes,fiber optic,5.0,no,Yes,Yes,YES,Yes,Yes,NO,0,1,0,Yes,Month-to-Month,Yes,bank withdrawal,110.75,4687.9,0.0,0.0,624.36,5312.259999999999,Churned,Yes,65.0,Competitor,Competitor made better offer
4913-EHYUI,male,80.0,yes,No,0.0,United States,california,Alpaugh,93201.0,35.869626,-119.498771,1054.0,Q3,No,0.0,56.0,Offer B,Yes,48.8,Yes,FIBER OPTIC,12.0,yes,No,Yes,NO,Yes,Yes,NO,0,0,3,Yes,one year,Yes,BANK WITHDRAWAL,104.55,5794.65,0.0,0.0,2732.8,8527.449999999999,Churned,Yes,91.0,Competitor,Competitor offered higher download speeds
1626-ercmm,Male,75.0,YES,no,0.0,United States,california,Camp Nelson,93208.0,36.057458,-118.591951,191.0,Q3,Yes,7.0,20.0,none,Yes,5.31,Yes,Fiber Optic,10.0,no,no,No,No,Yes,Yes,YES,0,2,0,Yes,MONTH-TO-MONTH,YES,Bank Withdrawal,94.55,1899.65,0.0,0.0,106.2,2005.85,Churned,Yes,84.0,Competitor,Competitor had better devices
5644-PDMZC,Female,69.0,No,No,0.0,united states,California,Delano,93215.0,35.772244,-119.209689,37280.0,Q3,No,0.0,2.0,none,Yes,47.47,Yes,FIBER OPTIC,19.0,no,YES,No,No,No,YES,Yes,2,0,0,Yes,Month-to-Month,No,BANK WITHDRAWAL,89.5,161.5,0.0,0.0,94.94,256.44,Churned,Yes,80.0,Attitude,Attitude of support person
4160-AMJTL,female,74.0,No,No,0.0,United States,California,Fellows,93224.0,35.215731,-119.57013,626.0,Q3,No,0.0,8.0,None,YES,27.95,No,None,0.0,no,No,No,no,No,No,No,2,0,1,NO,month-to-month,no,Bank Withdrawal,19.65,164.3,0.0,0.0,223.6,387.9,CHURNED,Yes,83.0,Attitude,Attitude of support person
0823-HSCDJ,Male,76.0,NO,NO,0.0,United States,California,temecula,92592.0,33.507255,-117.029473,46171.0,Q3,No,0.0,52.0,None,No,0.0,NO,DSL,18.0,no,yes,No,No,Yes,YES,Yes,0,0,3,No,month-to-month,yes,Bank Withdrawal,49.15,2550.9,0.0,30.0,0.0,2580.9,Churned,YES,90.0,Competitor,Competitor made better offer
0067-DKWBL,MALE,69.0,NO,no,0.0,United States,California,San Diego,92129.0,32.961064,-117.134917,47224.0,Q3,no,0.0,2.0,None,yes,43.99,no,DSL,27.0,Yes,No,No,No,NO,No,No,0,0,3,Yes,MONTH-TO-MONTH,yes,Bank Withdrawal,49.25,91.1,0.0,0.0,87.98,179.07999999999998,Churned,yes,95.0,Competitor,Competitor made better offer
5244-irfih,male,72.0,Yes,No,0.0,United States,CALIFORNIA,San Diego,92129.0,32.961064,-117.134917,47224.0,Q3,Yes,1.0,33.0,None,yes,27.78,yes,Fiber Optic,8.0,No,No,No,No,Yes,yes,NO,0,0,2,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0.0,0.0,916.74,4022.29,Churned,yes,91.0,Other,Poor expertise of online support
2684-eiweo,Female,69.0,no,No,0.0,United States,California,san diego,92129.0,32.961064,-117.134917,47224.0,Q3,No,0.0,30.0,None,yes,45.88,Yes,fiber optic,,Yes,Yes,Yes,no,No,No,NO,0,0,0,yes,Month-to-Month,No,CREDIT CARD,91.7,2758.15,0.0,0.0,10635.4,4134.55,churned,Yes,90.0,Competitor,Competitor made better offer
6683-VLCTZ,male,73.0,No,No,0.0,United States,California,San Diego,92129.0,32.961064,-117.134917,47224.0,Q3,No,0.0,20.0,None,yes,44.44,Yes,fiber optic,13.0,No,No,Yes,No,Yes,yes,No,0,0,3,No,MONTH-TO-MONTH,Yes,Bank Withdrawal,98.55,1842.8,0.0,120.0,,2851.6,Churned,YES,92.0,Competitor,Competitor made better offer
0691-IFBQW,Female,65.0,NO,No,0.0,UNITED STATES,California,Biola,93606.0,36.798882,-120.019511,807.0,Q3,No,0.0,46.0,None,yes,2.37,Yes,FIBER OPTIC,20.0,yes,Yes,Yes,NO,Yes,YES,Yes,0,0,0,Yes,One Year,Yes,bank withdrawal,110.0,4874.8,0.0,0.0,109.02,4983.820000000001,Churned,Yes,81.0,Competitor,Competitor made better offer
3643-ahcfp,male,74.0,Yes,No,0.0,united states,California,SELMA,93662.0,36.545322,-119.642281,26213.0,Q3,Yes,1.0,7.0,None,Yes,21.91,Yes,Cable,11.0,no,No,No,No,Yes,Yes,No,3,0,1,Yes,Month-to-Month,YES,Bank Withdrawal,95.6,644.35,0.0,0.0,153.37,797.72,CHURNED,Yes,83.0,Competitor,Competitor made better offer
9231-ZJYAM,Female,65.0,NO,No,0.0,UNITED STATES,California,Squaw Valley,93675.0,36.719141,-119.202677,3146.0,q3,no,0.0,4.0,None,yes,36.93,NO,Fiber Optic,18.0,no,NO,No,No,Yes,No,No,0,0,0,Yes,month-to-month,Yes,BANK WITHDRAWAL,78.85,292.8,0.0,0.0,147.72,440.52,churned,YES,72.0,Other,Moved
0727-BMPLR,female,66.0,No,No,0.0,United States,California,Fresno,93706.0,36.654614,-119.903674,35790.0,Q3,No,0.0,55.0,NONE,Yes,37.38,yes,Fiber Optic,7.0,No,no,Yes,No,Yes,Yes,Yes,0,0,1,No,one year,Yes,Bank Withdrawal,100.0,5509.3,0.0,100.0,2055.9,7665.200000000001,churned,yes,83.0,Competitor,Competitor offered higher download speeds
0947-MUGVO,Male,71.0,yes,No,0.0,UNITED STATES,california,Jolon,93928.0,35.930782,-121.189757,254.0,Q3,YES,1.0,20.0,None,YES,5.37,No,Fiber Optic,24.0,No,YES,no,No,No,No,No,0,0,1,yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0.0,0.0,107.4,1570.9,Churned,Yes,95.0,Competitor,Competitor had better devices
0781-LKXBR,male,65.0,No,No,0.0,United States,California,SAN FRANCISCO,94102.0,37.7795,-122.419233,28998.0,Q3,no,0.0,9.0,None,yes,48.71,Yes,Fiber Optic,15.0,NO,No,Yes,No,Yes,Yes,yes,0,0,1,Yes,Month-to-Month,YES,BANK WITHDRAWAL,100.5,918.6,0.0,0.0,438.39,1356.99,churned,Yes,70.0,Competitor,Competitor had better devices
1907-ubqfc,Male,69.0,no,No,0.0,UNITED STATES,CALIFORNIA,San Francisco,94108.0,37.791998,-122.408653,13723.0,Q3,No,0.0,10.0,None,yes,5.46,NO,Fiber Optic,24.0,No,Yes,No,no,No,No,No,0,0,2,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,0.0,30.0,54.6,773.25,CHURNED,yes,91.0,Competitor,Competitor had better devices
6513-EECDB,Male,75.0,Yes,NO,0.0,united states,California,san francisco,94114.0,37.758085,-122.434801,30587.0,Q3,no,0.0,1.0,None,YES,36.92,Yes,Fiber Optic,6.0,No,no,No,no,NO,no,NO,0,0,0,yes,month-to-month,yes,BANK WITHDRAWAL,73.55,73.55,0.0,0.0,36.92,110.47,Churned,YES,94.0,Price,Price too high
7074-ievoj,Female,75.0,no,NO,0.0,united states,California,SAN FRANCISCO,94130.0,37.820894,-122.369725,1458.0,Q3,NO,0.0,3.0,None,YES,41.9,Yes,Fiber Optic,11.0,no,yes,No,No,No,no,NO,1,0,0,Yes,Month-to-Month,yes,bank withdrawal,79.4,205.05,0.0,0.0,125.7,330.75,Churned,yes,91.0,Dissatisfaction,Product dissatisfaction
4750-zrxiu,female,68.0,No,No,0.0,United States,CALIFORNIA,Palo Alto,94304.0,37.386978,-122.177746,1723.0,Q3,NO,0.0,4.0,none,yes,6.68,YES,Cable,17.0,No,No,No,No,No,Yes,NO,3,0,0,YES,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0.0,0.0,26.72,386.8200000000001,Churned,yes,83.0,Competitor,Competitor had better devices
7028-DVOIQ,male,71.0,no,no,0.0,United States,california,Birds Landing,94512.0,38.140719,-121.838298,138.0,Q3,No,0.0,35.0,none,YES,20.83,YES,Fiber Optic,19.0,no,No,yes,No,Yes,Yes,No,0,1,0,NO,month-to-month,yes,Bank Withdrawal,99.05,3395.8,0.0,120.0,729.05,4244.85,Churned,Yes,82.0,Other,Don't know
4208-UFFGW,male,2075.0,no,No,0.0,UNITED STATES,California,Byron,94514.0,37.83323,-121.601461,10153.0,q3,no,0.0,2.0,Offer E,Yes,26.62,No,DSL,11.0,No,NO,No,No,no,no,No,0,0,2,yes,Month-to-Month,No,CREDIT CARD,44.95,85.15,0.0,0.0,53.24,138.39,CHURNED,Yes,84.0,Other,Don't know
9889-tmahg,Male,66.0,No,No,0.0,United States,California,Fremont,94539.0,37.516791,-121.899117,46917.0,Q3,No,0.0,8.0,None,yes,11.57,No,FIBER OPTIC,27.0,Yes,No,No,Yes,yes,Yes,Yes,0,0,0,Yes,Month-to-Month,no,Credit Card,100.3,832.35,0.0,0.0,92.56,924.91,Churned,Yes,74.0,Competitor,Competitor had better devices
8919-FYFQZ,male,73.0,Yes,No,0.0,United States,California,Livermore,94550.0,37.571748,4322.340438,75929.0,Q3,YES,2.0,44.0,NONE,no,0.0,No,Cable,28.0,No,Yes,NO,NO,No,No,No,2,0,0,YES,MONTH-TO-MONTH,Yes,Bank Withdrawal,30.35,1359.7,0.0,0.0,0.0,1359.7,Churned,Yes,96.0,Competitor,Competitor had better devices
6646-QVXLR,male,77.0,yes,No,0.0,United States,California,Napa,94558.0,38.489789,-122.27011,63947.0,Q3,YES,1.0,62.0,None,yes,7.11,Yes,Fiber Optic,16.0,NO,Yes,Yes,NO,Yes,Yes,Yes,0,0,0,Yes,one year,Yes,BANK WITHDRAWAL,103.75,6383.35,0.0,2633.0,440.82,6824.17,Churned,Yes,91.0,Competitor,Competitor had better devices
9369-XFEHK,Female,76.0,Yes,NO,0.0,United States,CALIFORNIA,Pleasanton,94566.0,37.633361,-121.862395,36669.0,Q3,Yes,1.0,33.0,None,YES,33.19,Yes,Cable,15.0,No,YES,no,NO,No,No,No,2,0,1,Yes,month-to-month,yes,BANK WITHDRAWAL,80.6,2656.5,0.0,0.0,1095.27,3751.77,Churned,yes,72.0,Competitor,Competitor offered more data
1374-DMZUI,Female,65.0,No,No,0.0,United States,california,San Ramon,94583.0,37.766556,-121.976784,44078.0,Q3,No,0.0,4.0,Offer E,YES,49.5,yes,FIBER OPTIC,23.0,No,no,No,no,Yes,YES,YES,2,0,0,YES,Month-to-Month,Yes,BANK WITHDRAWAL,94.3,424.45,0.0,0.0,198.0,622.45,Churned,Yes,91.0,Competitor,Competitor made better offer
1989-PRJHP,male,75.0,yes,No,0.0,UNITED STATES,california,Pleasanton,94588.0,37.685052,-121.912061,28568.0,q3,Yes,1.0,27.0,none,Yes,10.6,yes,Fiber Optic,23.0,NO,NO,No,no,No,No,No,0,0,0,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0.0,0.0,286.2,2180.15,Churned,yes,65.0,Competitor,Competitor had better devices
4822-RVYBB,MALE,75.0,NO,No,0.0,united states,california,Berkeley,94704.0,37.871416,-122.246597,21205.0,Q3,No,0.0,8.0,Offer E,Yes,40.45,yes,Fiber Optic,29.0,No,No,Yes,No,Yes,Yes,no,0,0,0,Yes,month-to-month,YES,Bank Withdrawal,100.6,819.4,0.0,0.0,323.6,1143.0,Churned,Yes,90.0,Attitude,Attitude of support person
4184-TJFAN,Female,68.0,Yes,No,0.0,United States,CALIFORNIA,BERKELEY,94707.0,37.897753,-122.279391,11889.0,Q3,Yes,1.0,3.0,Offer E,Yes,25.77,NO,FIBER OPTIC,2.0,yes,No,No,Yes,Yes,No,no,0,0,1,yes,Month-to-Month,YES,Mailed Check,88.3,273.75,0.0,0.0,77.31,351.06,Churned,yes,68.0,Attitude,Attitude of support person
